"local_path","source_type","original_source_url","author_or_uploader","license_or_permission_basis","modified","review_status"
"assets/images/items/_placeholder.svg","ai-generated-project-asset","","AI-generated","project asset; AI-generated provenance","unknown","cleared"
"assets/images/items/bucket-of-sulfur-cube.png","minecraft-wiki","https://minecraft.wiki/w/File:Bucket_of_Sulfur_Cube_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/enchanted-book/book-aqua-affinity.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-bane-of-arthropods.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-binding-curse.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-blast-protection.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-breach.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-channeling.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-density.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-depth-strider.gif","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-efficiency.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-feather-falling.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-fire-aspect.gif","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-fire-protection.gif","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-flame.gif","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-fortune.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-frost-walker.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-impaling.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-infinity.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-knockback.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-looting.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-loyalty.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-luck-of-the-sea.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-lunge.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-lure.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-mending.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-multishot.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
